"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "YAML", "TypeScript", "TypeScript JSX", "Ignore", "SCSS", "XML", "HTML", "Batch", "CSS", "comment", "blank", "total"
"k:\cross-platform-music-player-app\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"k:\cross-platform-music-player-app\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"k:\cross-platform-music-player-app\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 32
"k:\cross-platform-music-player-app\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"k:\cross-platform-music-player-app\.prettierrc", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"k:\cross-platform-music-player-app\README.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 39
"k:\cross-platform-music-player-app\apps\desktop\README.md", "Markdown", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 76
"k:\cross-platform-music-player-app\apps\desktop\electron\infrastructure\FileTraceLogger.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"k:\cross-platform-music-player-app\apps\desktop\electron\infrastructure\MainMetadataService.ts", "TypeScript", 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 15, 36, 298
"k:\cross-platform-music-player-app\apps\desktop\electron\infrastructure\MainStorageAdapter.ts", "TypeScript", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 2, 27, 158
"k:\cross-platform-music-player-app\apps\desktop\electron\infrastructure\SyncHistoryService.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 9, 49
"k:\cross-platform-music-player-app\apps\desktop\electron\ipc\dialog.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"k:\cross-platform-music-player-app\apps\desktop\electron\ipc\downloader.ts", "TypeScript", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 3, 23, 143
"k:\cross-platform-music-player-app\apps\desktop\electron\ipc\library.ts", "TypeScript", 0, 0, 0, 0, 0, 482, 0, 0, 0, 0, 0, 0, 0, 33, 95, 610
"k:\cross-platform-music-player-app\apps\desktop\electron\ipc\storage.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 17, 71
"k:\cross-platform-music-player-app\apps\desktop\electron\main.ts", "TypeScript", 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 26, 61, 379
"k:\cross-platform-music-player-app\apps\desktop\electron\modules\auth\YouTubeAuthService.ts", "TypeScript", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 3, 18, 103
"k:\cross-platform-music-player-app\apps\desktop\electron\modules\downloader\YoutubeDownloader.ts", "TypeScript", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 56, 346
"k:\cross-platform-music-player-app\apps\desktop\electron\modules\downloader\__tests__\YoutubeDownloader.test.ts", "TypeScript", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 9, 27, 123
