"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"k:\cross-platform-music-player-app\README.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 14, 51
"k:\cross-platform-music-player-app\apps\desktop\electron\ipc\library.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 3, 3, 22
"k:\cross-platform-music-player-app\apps\desktop\electron\main.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 4, 5, 39
"k:\cross-platform-music-player-app\apps\desktop\electron\preload.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"k:\cross-platform-music-player-app\apps\desktop\src\application\providers\DownloadProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"k:\cross-platform-music-player-app\apps\desktop\src\electron.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\DownloaderModal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 45, 0, 10, 55
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\DownloaderModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 2, 29
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\components\InputState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\useDownloaderModal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\GlobalDragDrop\GlobalDragDrop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\Header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, 0, 2, 0, 1
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\components\SearchInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\types.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\useHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Language\LanguageProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Library\LibraryProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 2, 6, 44
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\LyricsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -3, 0, 0, 0, -3
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\LyricsView\components\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\PlayerBar\PlayerBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -3, 0, 0, 0, -3
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\PlayerBar\components\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\pages\PlaylistDetailPage\PlaylistDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\pages\PlaylistDetailPage\components\EmptyState.scss", "SCSS", 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\pages\PlaylistDetailPage\components\EmptyState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\pages\PlaylistDetailPage\components\VirtualSongList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 3, 3, 35
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\pages\PlaylistDetailPage\hooks\usePlaylistData.ts", "TypeScript", -10, 0, 0, 0, 0, 0, 0, 0, 1, -9
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\pages\SettingsPage\SettingsPage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 202, 0, 33, 235
